date,city,order_cnt,amount,pay_amount,discountAmount,refuelLiters
2023-1-12,泰州分公司,55971,16646259.31,16646275.71,16.4,2134197.75
2023-1-12,淮安分公司,42306,12571444.23,12571458.43,14.2,1617219.81
2023-1-12,盐城分公司,55127,16427050.22,16427050.22,0,2090768.12
2023-1-12,苏州分公司,130664,41844592.63,41844592.63,0,5394163.46
2023-1-12,连云港分公司,40432,11131675.82,11131684.82,9,1428560.94
2023-1-12,镇江分公司,38994,11987177.91,11987177.91,0,1540950.83
2023-1-12,高速石油公司,82915,27201475.35,27201475.35,0,3486667.59
2023-1-12,,7740,2493272.05,2493272.05,0,347105.87
2023-1-13,中石化壳牌合资公司,154601,46766075.43,46766075.43,0,5925475.84
2023-1-13,南京分公司,198236,58976795.7,58976868.6,72.9,7588728.51
2023-1-13,南通分公司,125145,36308862.43,36308862.43,0,4621310.08
2023-1-13,宿迁分公司,66778,18001594.1,18001594.1,0,2944896.63
2023-1-13,常州分公司,99823,30361503.97,30361548.97,45,3953469.53
2023-1-13,徐州分公司,100738,26379576.29,26379593.82,17.53,3363557.15
2023-1-13,扬州分公司,80966,22762442.74,22762498.11,55.37,2906895.02
2023-1-13,无锡分公司,95066,29065872.94,29065872.94,0,3696690.78
2023-1-13,江阴分公司,33889,10460999.62,10460999.62,0,1344351.87
2023-1-13,泰州分公司,77306,21708315.62,21708342.62,27,2776882.67
2023-1-13,淮安分公司,57189,16074773.17,16074773.17,0,2055561.81
2023-1-13,盐城分公司,77015,21720571.55,21720571.55,0,2757476.55
2023-1-13,苏州分公司,165409,50643719.11,50643719.11,0,6481918.74
2023-1-13,连云港分公司,63243,16524465.31,16524480.58,15.27,2165153.41
2023-1-13,镇江分公司,51963,14853265.58,14853265.58,0,1902726.34
2023-1-13,高速石油公司,110094,33924628.77,33924628.77,0,4335050.15
2023-1-13,,9739,2917694.63,2917694.63,0,377766.09
2023-1-14,中石化壳牌合资公司,121259,36768765.32,36768765.32,0,4654398.87
2023-1-14,南京分公司,152808,46299370.13,46299457.86,87.73,5997422.36
2023-1-14,南通分公司,97934,29312100.56,29312100.56,0,3725110.22
2023-1-14,宿迁分公司,50305,13922563.73,13922563.73,0,2126306
2023-1-14,常州分公司,81175,25096563.71,25096609.01,45.3,3276743.92
2023-1-14,徐州分公司,81928,22601481.4,22601526.4,45,2879953.5
2023-1-14,扬州分公司,55989,16386830.35,16386928.43,98.08,2092045.92
2023-1-14,无锡分公司,72528,22435502.78,22435502.78,0,2853934.26
2023-1-14,江阴分公司,23242,7167017.67,7167017.67,0,911041.02
2023-1-14,泰州分公司,59598,17584662.26,17584695.26,33,2245833.46
2023-1-14,淮安分公司,50093,14465248.41,14465248.41,0,1852051.34
2023-1-14,盐城分公司,59026,17600235.24,17600239.87,4.63,2234052.22
2023-1-14,苏州分公司,132958,40644188.14,40644188.14,0,5173732.17
2023-1-14,连云港分公司,47354,13196380.21,13196380.21,0,1772246.63
2023-1-14,镇江分公司,40096,11950501.49,11950501.49,0,1527143.17
2023-1-14,高速石油公司,122312,36468238.03,36468238.03,0,4654625.69
2023-1-14,,8873,2712876.27,2712876.27,0,349657.64
2023-1-15,中石化壳牌合资公司,125009,37512397.9,37512397.9,0,4737489.45
2023-1-15,南京分公司,158105,46800600.83,46800680.3,79.47,5996185.63
2023-1-15,南通分公司,112471,32936773.53,32936773.53,0,4178204.97
2023-1-15,宿迁分公司,50133,14383612.31,14383612.31,0,2740180.34
2023-1-15,常州分公司,86242,25826316.02,25826353.95,37.93,3322363.01
2023-1-15,徐州分公司,79859,21007973.67,21007982.67,9,2700164.02
2023-1-15,扬州分公司,59888,16997824.32,16997888.84,64.52,2164220.83
2023-1-15,无锡分公司,75980,22890437.26,22890437.26,0,2899734.93
2023-1-15,江阴分公司,26383,7973195.72,7973195.72,0,1046992.82
2023-1-15,泰州分公司,66028,18970483.38,18970561.38,78,2412979.1
2023-1-15,淮安分公司,48463,13701411.68,13701419.5,7.82,1747297.61
2023-1-15,盐城分公司,57747,16976148.76,16976165.58,16.82,2151933.06
2023-1-15,苏州分公司,135103,40680423.9,40680423.9,0,5182695.87
2023-1-15,连云港分公司,47354,12666773.07,12666782.07,9,1764461.83
